transaction_id,item_ids,num_items,total_price_usd
1,"1 2 3",3,83.44
2,"4 5 6 7",4,90.46
3,"8 9",2,50.94
4,"10 11 12 13",4,89.96
5,"14 15 16",3,57.38
6,"17 18 19",3,61.93
7,"20 21",2,27.48
8,"22 23 24",3,95.47
9,"25 26 27",3,51.97
10,"28 29 30",3,75.47
11,"1 4 7 10 13",5,114.45
12,"2 5 8 11",4,113.42
13,"3 6 9 12 15",5,95.87
14,"14 17 20 23",4,120.47
15,"16 19 22 25",4,101.36
16,"18 21 24 27",4,72.96
17,"26 29",2,45.98
18,"5 10 15 20 25",5,73.35
19,"6 11 16 21 26",5,110.95
20,"7 12 17 22 27",5,94.45
