transaction_id,item_ids,num_items,total_price_usd
1,"1 8 15 22",4,101.36
2,"2 9 16 23",4,123.42
3,"3 10 17 24",4,91.93
4,"4 11 18 25",4,95.46
5,"5 12 19 26",4,120.96
6,"6 13 20 27",4,88.46
7,"7 14 21 28",4,75.46
8,"8 16 24",3,70.48
9,"9 17 25",3,63.43
10,"10 18 26",3,51.47
11,"11 19 27",3,94.87
12,"12 20 28",3,77.47
13,"13 21 29",3,90.47
14,"14 22 30",3,69.97
15,"1 6 11 16 21 26",6,133.43
16,"2 7 12 17 22 27",6,136.42
17,"3 8 13 18 23 28",6,134.45
18,"4 9 14 19 24 29",6,137.43
19,"5 10 15 20 25 30",6,123.45
20,"1 10 20 30",4,98.42
